event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
7927166-2,7927166,0x228ff03a7c0afcdf2d2a839e663f01410ff9f0a069ac0273643e378cf014f621,2,council,Voted,Dp2J1GeFstcK4bJ2QZyV6PdFvMZsyM4NYDdnuKWn4uwnVfs
7926757-2,7926757,0xb8c654736545077620d42286ea9ec9eebfdd57458df83141282100393c5431fe,2,council,Voted,DaCSCEQBRmMaBLRQQ5y7swdtfRzjcsewVgCCmngeigwLiax
7924682-2,7924682,0x0d52267dd9c21cfaf3f1ae5228852a07a310171aba7b15d771bd033c46aaeee8,2,council,Voted,DwuvsJZiijfLtGQ33GUa18d1GgGxo21GJpXrpwzxznyHpy8
7924237-2,7924237,0xbaf229becca678ebb16c5d20e1c246e77f1d5fa99e60a534d477510d43e80b3d,2,council,Approved,DMF8a34emwapz9mV5P5PTDcghh1ZR3miH9ad9mHzfAUMSXU
7924237-2,7924237,0xbaf229becca678ebb16c5d20e1c246e77f1d5fa99e60a534d477510d43e80b3d,2,council,Executed,DMF8a34emwapz9mV5P5PTDcghh1ZR3miH9ad9mHzfAUMSXU
7924237-2,7924237,0xbaf229becca678ebb16c5d20e1c246e77f1d5fa99e60a534d477510d43e80b3d,2,council,Closed,DMF8a34emwapz9mV5P5PTDcghh1ZR3miH9ad9mHzfAUMSXU
7924234-2,7924234,0xd6067be3f980d8963bd6561beff79edfe59af06b939109d54431ca50aa63b531,2,council,Voted,DwuvsJZiijfLtGQ33GUa18d1GgGxo21GJpXrpwzxznyHpy8
7924073-2,7924073,0xcbaeaf9b9e4066f0b28aa6e2166b5f59856548b2b7ac98bae0103dde6261e6d5,2,council,Voted,Hh6rSbzWy7Qni97XMnN7p42Hf4G2UpZohiEwsJKoYTr8BmL
7924070-2,7924070,0x903955ce99b3c2425f315aee10096b29a3269e74fbd123a2515090d133fc6051,2,council,Voted,Hh6rSbzWy7Qni97XMnN7p42Hf4G2UpZohiEwsJKoYTr8BmL
7924016-2,7924016,0xb6a6dd3c37e4325bba73e85cec031f3b54aa54f63f62443a52495a5cc563979d,2,council,Voted,DbF59HrqrrPh9L2Fi4EBd7gn4xFUSXmrE6zyMzf3pETXLvg
7923965-2,7923965,0x4ae5e5a49229942dfee891e125c61638d1bb35e32b5490387ae1b53c8d3326e8,2,council,Voted,GoJ89MXptpNt1dH4NaZ73YtzknhrYeZcBJ33mifX5BMqoFz
7923963-2,7923963,0x13122bc4c1762455d45e196afa853b2ac2985b1941359722610505799e44db35,2,council,Voted,DMF8a34emwapz9mV5P5PTDcghh1ZR3miH9ad9mHzfAUMSXU
7923954-2,7923954,0xf83a483e22f4ed9dd32f57c5437252ca5532d13fcf2018238e89d099e16c4ae9,2,council,Voted,DaCSCEQBRmMaBLRQQ5y7swdtfRzjcsewVgCCmngeigwLiax
7923950-2,7923950,0xc06da7f9bc994c0e5f3e6295b2489573701a0ab90c20e8f2fb7603593f707d75,2,council,Voted,DMF8a34emwapz9mV5P5PTDcghh1ZR3miH9ad9mHzfAUMSXU
7923932-4,7923932,0xb3e7999ee6ee1291019742d9f5b3c469f39afca041d1acc76d724cb04316e938,4,council,Voted,HyBryanRsB1GGKa9ZfqvRc3XpTDipYyRvxNNyZYfWFcenhd
7923907-2,7923907,0x7fc313d6922b3b26f1774e99a6342dd74d5db058735aa038b55d699c7bd80a11,2,council,Voted,JCBwjZRKnYK562SKDDgSUnkSdCyZGEE8nfPNm26TbWRyeCB
7923904-2,7923904,0xe659eb08d0d183525dd9e044895e78a455d2406a736d2406b8ff6698b973fe50,2,council,Voted,Hjuii5eGVttxjAqQrPLVN3atxBDXPc4hNpXF6cPhbwzvtis
