event_index,block_num,extrinsic_hash,extrinsic_idx,section,metion,Associated_address
5765711-2,5765711,0xd9748dcdcd2a14289f31416462ddb12f34d224fb18b5438e20cf8af4cfe957b7,2,democracy,Delegated,158sAxFqzQM1G3DR1J3u96m3n19eaTigDML6m7VdA22wBVAB
5722598-0,5722598,,0,democracy,PreimageUsed,
5734044-1,5734044,0x51e5378a340bae8408de7bc0b4e802db667c817dcaf897b2bd4affdbb888e2ce,1,democracy,Delegated,1euAGX9n98JmqWoe2k1brs3863prEUjmmR1rPCmxju3gtuS
5722598-0,5722598,,0,democracy,Executed,
5721998-0,5721998,,0,democracy,Passed,
5722017-1,5722017,0x084d1b5a6f0e2b7c13af5976d9811705818dbd8c233d6ba8fde29302d2e24514,1,democracy,PreimageNoted,125wW2374iA1mAK8hWZmXzBEpaaDj7BJULkT4GyR6u6a9u92
5718398-2,5718398,0x7018ae8aad78e38b60a9df021f87220ca355698f3d03237b3513bd163722468a,2,democracy,Started,13gMCjbt1Vm4HAmj3zyZ9Q68qaFfbxcV6wNUJWTtyA9pVtzF
5718140-1,5718140,0x5b6616eea1ee316222347fefb720cab307e7627b0d25297ccd7ee237bff0da5c,1,democracy,Undelegated,15PXq4WaEWfVn6SxUWhNhoK892jEH7eqF9HqcQAAqok4ZqnC
5677271-0,5677271,,0,democracy,PreimageUsed,
5689598-2,5689598,0x66c97f41f0913fcf654b8142a2ae69758957bee00900bbcbe3dbcda99fbdbc03,2,democracy,Delegated,13YMrJtStnWj55Sd1piuGaYLFYi3Dt1SQgYaPM6tjsTGw9mk
5677271-0,5677271,,0,democracy,Executed,
5676671-0,5676671,,0,democracy,Passed,
5676689-1,5676689,0x1388d1cde2e4e65bd1fc8eaa3eb8dc8d38e514bb4f89426dcd56e8366a7a7f8a,1,democracy,PreimageNoted,13gVfEJg5sFGAvWSFA9G4N96yYdATyrTupxHUmTHaunrMZjz
5661442-0,5661442,,0,democracy,PreimageUsed,
5674871-1,5674871,0xb0763b8dfe7684c8e105719ee7e564d5b4f50817a92fb29396f864d82b22b76c,1,democracy,Started,12hAtDZJGt4of3m2GqZcUCVAjZPALfvPwvtUTFZPQUbdX1Ud
5661442-0,5661442,,0,democracy,Executed,
5660842-0,5660842,,0,democracy,Passed,
5644800-0,5644800,,0,democracy,Tabled,
5644800-0,5644800,,0,democracy,Started,
5660871-1,5660871,0xf93698433b113420b38173fa9628f9978da94ee538115e436b11d11d72d3c7f7,1,democracy,PreimageNoted,13gVfEJg5sFGAvWSFA9G4N96yYdATyrTupxHUmTHaunrMZjz
5644800-0,5644800,,0,democracy,NotPassed,
5629642-2,5629642,0x8bf46fd8a12ecb266a6ad0c0d8be879c35a30888e6b4cc216d07bd3829c05c34,2,democracy,Started,13gMCjbt1Vm4HAmj3zyZ9Q68qaFfbxcV6wNUJWTtyA9pVtzF
5550446-1,5550446,0xf69a6f1d4a58693f8460923c28953597cb4365004869bb7d1cafd3eef83a2b6f,1,democracy,Delegated,15PXq4WaEWfVn6SxUWhNhoK892jEH7eqF9HqcQAAqok4ZqnC
5550245-1,5550245,0xd0365d503b21eb5ea6fe33d8d928e2b287852a3e35054d0fb3cc69baf9c44d84,1,democracy,Delegated,15PXq4WaEWfVn6SxUWhNhoK892jEH7eqF9HqcQAAqok4ZqnC
5528666-1,5528666,0x7d6f44a4986337f2f7f83b59d4ffab32c94090e63d307eccf9108aac116e3116,1,democracy,Undelegated,14KHiTA6q9DMPc6tyWGKQe7PL15DRB7gp2N5g6fcksJ7pamh
5505081-1,5505081,0x143b072fe3091d804e2fa0ed008409535f02541f5a74ed2f9b98979f34d1edb1,1,democracy,Delegated,14KHiTA6q9DMPc6tyWGKQe7PL15DRB7gp2N5g6fcksJ7pamh
5416641-1,5416641,0xb230e3d515b3963e198347b83301fe82f868b40158ba7edf7739c75af5787c00,1,democracy,PreimageNoted,16K5PBUn383aDMJsokczUPC54EoSaW6pHArAmPw3i2rJPTY
5404903-2,5404903,0x310881688ec0299f9f4c7b0e4c0799a72cc921d0121f7f382a700389a05b8c96,2,democracy,Undelegated,13g4MMN1BYnBwJHwr99wmWGoMEWbwPoaucu4qVYVDtS6kNJU
5393579-2,5393579,0x7b967d5713099b3f9bde14c84b96d104776fb33d627a27b5532cd9aae4976e80,2,democracy,Delegated,13ECQ1DsSHKgqdiPqLKbcSQD146KBpUNF8V3Ku6jipUgBofu
5357835-2,5357835,0x70d5ccd355657607f382eef76c889241374b6bebe48f06da365ecebe579afc6a,2,democracy,Delegated,13g4MMN1BYnBwJHwr99wmWGoMEWbwPoaucu4qVYVDtS6kNJU
5241600-0,5241600,,0,democracy,ExternalTabled,
5331791-2,5331791,0x16d04bff319aa00c64fe7cbf037596f2007ee057731b79eafcc2c5d37b0ac7e0,2,democracy,Delegated,16fFNmUKejFYJXX7YnhXE4nkPvgUEmmqVMTvMu8CBUs2dBnq
5241600-0,5241600,,0,democracy,Started,
5241600-0,5241600,,0,democracy,NotPassed,
5232142-2,5232142,0x8170506f3dc4d42b934fe96920b2c05f3ef20095ba81b7ba4e419d3280140da0,2,democracy,Delegated,15dRU7propzDAp3KoHVtnwFNGF1phMPBBFjfywdhUvcdvLsF
5217455-1,5217455,0xbd934071e1099d229ffcd392e0ffa2bfca1f66ea4306d6396300886df9ed0842,1,democracy,PreimageNoted,14KHiTA6q9DMPc6tyWGKQe7PL15DRB7gp2N5g6fcksJ7pamh
5217379-1,5217379,0x95509996bba6c3622f5ee1e84f0a446cdc9087cb33303eb85c04af6fc1c9da85,1,democracy,PreimageReaped,14KHiTA6q9DMPc6tyWGKQe7PL15DRB7gp2N5g6fcksJ7pamh
5213725-1,5213725,0xf13e1423b6503ab83b6b3c0c7aca3dabeb03c8bc4f7d027c7cb33d4bb638c1ef,1,democracy,PreimageReaped,13EHgZkg5nbr8nucab3QxHszRjBikYzfoYVeF5KnxZiTaEEN
5202314-3,5202314,0x32b5cf571d4e43e3dfbda470a5be199eb0111a5e624f1c5967d751f6f40cb3ab,3,democracy,PreimageNoted,1hCMdtRsaRA4ZTEKpPKPvEjK9rZpGhyFnRHSDhqFMCEayRL
5197165-1,5197165,0xb0e085ff88e25f7f3f2bae14275f4ed6c8817513bfb151013291ecf5bc50038d,1,democracy,Undelegated,143ogQgGsZqVAgGQhu7UBYscxoJhgHfkDu7xo7uhFoETMJ23
5197138-1,5197138,0xcc37db2458af90a44dcced5402531b66c292601cc3c3b6301ec7fc21d62af3ae,1,democracy,Delegated,143ogQgGsZqVAgGQhu7UBYscxoJhgHfkDu7xo7uhFoETMJ23
5085297-2,5085297,0x2ea09c0dfd19891efc70ed8f452c2f0defac9573db574fdd7322c2f41412cefd,2,democracy,Delegated,1euAGX9n98JmqWoe2k1brs3863prEUjmmR1rPCmxju3gtuS
5083673-1,5083673,0x71716010d07c072a5f81c0995a594e743c4cf6c2e432dc31562c2e8ffdc00de5,1,democracy,Undelegated,143ogQgGsZqVAgGQhu7UBYscxoJhgHfkDu7xo7uhFoETMJ23
5083657-2,5083657,0x9536041699af8e1c1ac8888fb5597bb3c998803133841192850200f1e99cdc21,2,democracy,Delegated,143ogQgGsZqVAgGQhu7UBYscxoJhgHfkDu7xo7uhFoETMJ23
5055850-2,5055850,0xb833a9ddf6cf3e811d308b1ed55ee6f47ac2c3ba3c07ac3e2ffc0c4b91aaa122,2,democracy,Undelegated,16UtLhhfEZdyvJeLAHinqrBAHDsAf747GiorGLffegdkmHzJ
5033651-1,5033651,0xef28bf97d66a6b931c1ff73b25072423809a18dc0c786ee5b410efd432b6bdca,1,democracy,Delegated,16fFNmUKejFYJXX7YnhXE4nkPvgUEmmqVMTvMu8CBUs2dBnq
5016774-1,5016774,0xc28ad51d0c8badb4e6ff4c18efd1b044f13c4f323e8c79382c8c1bcedca3ea5a,1,democracy,PreimageNoted,15qcHiDAeJkbqW9fpM4pR6QumeZvCmCqn7sbbckEMVGaxPtX
5016761-1,5016761,0xb8b622c2a116571cb8035372c77f18ec3a783fb08aaf391c7f587fe4f98647b6,1,democracy,PreimageNoted,15qcHiDAeJkbqW9fpM4pR6QumeZvCmCqn7sbbckEMVGaxPtX
5016747-1,5016747,0xe11c5717bf66b2b1daae4ddb904ae465d0aa47f9e0d25c56b9c49f8e0c94a739,1,democracy,PreimageNoted,15qcHiDAeJkbqW9fpM4pR6QumeZvCmCqn7sbbckEMVGaxPtX
